"Valentina S.A. Mella";"A new ecological tool for fine-grained movement studies in time and space     (#60)";"The hefty size and weight of\npositional information devices for tracking wild animals often limit their use\nto large species. We describe a new tool to quantify spatially-defined movement of small animals at very fine\ntemporal scales. We have built a low cost and low power device (positional information gadget [PIG]),\nweighting only ~16 g that can be used in tandem with purpose-built\nbase-stations to track small free-ranging animals.  The PIGs have two capabilities. First, they\ncan transmit a signal every second that is picked up by the base-stations\nwithin range, allowing the animal’s identity and its proximity to be recorded.  Second, they obtain the GPS locational fixes\nat programmable time intervals and can automatically transfer all GPS data to\nthe base-stations when within range. This system provides a reliable, cost effective way to obtain\nhighly detailed identity-location-time\ninformation over weeks, without needing to re-capture animals. This new\ntechnology used alone or in combination with other field methods\n(e.g. GUDs, behavioural video recording, etc.) has a range of interesting ecological\napplications.";"The University of Sydney, Camperdown, NSW, Australia"
"Amaël Borzée";"Temporal and spatial differentiations in microhabitat use in males of two sympatric treefrog species: implications for reproductive isolation and ecological specialisation.     (#61)";"Behavioural isolating mechanisms\ninvolving male advertisement calls and female phonotaxis may be unreliable when\nclosely-related sympatric species interact with each other in close proximity,\nand when these two species exhibit incomplete pre- and post-mating reproductive\nisolation. Then, other mechanisms such as temporal and/or spatial\ndifferentiation of microhabitat use may evolve. Two treefrog species co-occur\nin Korea: the endangered Hyla suweonensis\nand the widespread H. japonica.\nAdvertisement calls are differentiated between these two species, but whether\ncall differences are sufficient for reproductive isolation is unclear. We\ntested the possibility of fine-scale differentiation in microhabitat use for an\nadded mechanism of reproductive isolation between the two species, based on\ncall monitoring within rice paddies and individual tracking during the\nbreeding period. Both\ntreefrog species showed similar patterns of microhabitat use in their diel\ncycle and occurred in all five microhabitats: rice paddy, ground, buried,\ngrass, and bush. However, males H.\nsuweonensis moved into rice paddies and produced advertisement calls three\nhours ahead of males H. japonica.Furthermore, H. suweonensis called from the centre of rice\npaddies while “holding”, whereas H.\njaponica called from the edges, while “sitting” onto the substrate. Males H. suweonensis rested in bushes in the morning but left an hour\nbefore males H. japonica arrived. Individual\nmovement patterns revealed spatial and temporal differentiations in\nmicrohabitat use for calling and resting during the breeding season. Such\npatterns are likely to minimize contacts during daily movements and\ncreate an effective premating barrier between the two species. We suggest that the role of calling site selection may\nbe underestimated for reproductive isolation in multi-species anuran\ncommunities and that spatial differentiation may complement the differences\nin acoustic communication for reproductive isolation.";"Department of Life Sciences and Division of EcoScience, Ewha W. University, Seoul, South Korea"
"Rebecca J Fox";"Monogamy without the sex? Remote acoustic telemetry provides new insights into the basis of pairing in tropical marine fishes     (#62)";"The observation of a stable pair bond in nature tends\nto lead to an initial presumption that the partnership is for mating. However,\npairs can also form as cooperative alliances for acquiring access to resources\nor commodities, such as the coalitions that form between male cheetahs or\ngreylag geese. In cases where species do not exhibit obvious sexual dimorphism\nand where the act of reproduction is difficult to observe, establishing whether\nthe apparently simple phenomenon of pairing is based on mating mutualism or\ncooperation for other reasons can be difficult. This is especially true for\naquatic organisms, where the observational challenges are extreme. In the tropical\nmarine fishes known as rabbitfish (Siganidae), approximately half of the extant\nspecies live in schools while the other half form socially monogamous pairs.\nPair formation has been assumed to be for mating, yet almost nothing is known\nabout the reproductive ecology of the pairing species. We used remote\nacoustic telemetry to track the movements of one such species (Siganus doliatus) over the course of a\nreproductive season and, in doing so, provide the first evidence that adult paired fishes undertake highly synchronised migrations with conspecifics on a monthly cycle. All\ntagged individuals migrated along the same route in three consecutive months\n(Oct-Dec). These 2-3 day long migrations always occurred shortly after the new\nmoon. The timing and directionality of the migrations suggests that Siganus doliatus breeds in mass aggregations,\nthrowing into question the long-held assumption that pairing in this family of\nfishes is based on the benefits of monogamous mating. The use of acoustic\ntracking to test the evolutionary basis of pairing in organisms highlights the extraordinary\ndiversity of behavioural and evolutionary hypotheses now testable using\ntracking technology.";"University of Technology Sydney, School of Life Sciences, Ultimo, NSW, Australia"
"Rebecca Turner";"Testing Mathematical Models of Animal Navigation     (#63)";"Pigeons\n(Columba livia) have been used as a convenient experimental model for\nanimal navigation as they will generally fly home even from unfamiliar\nlocations, albeit with systematic initial orientation biases. One hypothesis\nfor the navigation mechanism is conceptualised as a ‘map’ and compass system.\nThe compass component is relatively well understood, however, our understanding\nof the ‘map’ component is less developed. Several hypotheses for the map\ncomponent have been proposed including those based on a literal interpretation\nof a bicoordinate grid map from which mathematical models have been\nconstructed.In this talk I will discuss how these models\nmight be compared to real experiments to test our theoretical understandings of\nnavigation mechanisms. Initial results based on real and hypothetical fields\nquestion our current assumptions and have implications for the design of future\nexperiments.";"University of Auckland, Auckland, New Zealand"
"Michele Thums";"Movement behaviour of a large marine predator – a complex systems approach      (#64)";"Spatial patterns in animal movement are a key\ndeterminant of trophic relationships, nutrient cycling and energy flows in\necosystems. In marine environments, considerable research effort has been\nfocused on describing movement patterns of marine megafauna such as seals using\nsatellite telemetry. However, new statistical techniques generated by the study\nof human mobility, such as the complex systems approach, now offer a novel\nmeans to analyse these data. Here, we use these approaches to explore the movement\nbehaviour of a large marine predator, the southern elephant seal, from satellite\ntelemetry data spanning five years and 176 deployments in the Southern Ocean. The distribution of displacements of elephant seals was\ndescribed by a power law, encompassing several spatial and temporal scales. When\nnormalized by the average displacement for each temporal scale, the\ndistribution of displacements follows a universal function, with a power-law which\ndecays for displacements below the average (P(r) ~ r′-γ; where γ = 0.78) and a fast\nexponential-like decay for larger displacements. This scale-free behaviour of\nthe distribution of displacements indicates that elephant seals use the same dispersal\nstrategy, irrespective of spatial scale. The distribution of seal residencies\nalso displayed a power law decay that combined frequent, low residency sites\nwith infrequent, high residency sites. High residency was correlated with low\naverage speed, possibly indicating area restricted search behaviour.Finallywe also tested community detection algorithms to identify\nparticular marine areas of importance and inform on function.Scale-free movement behaviour\nhas been reported in other species as optimal strategies to find resources\n(e.g. Levy walk). However, we report a lower exponent than previously reported for\nthis strategy. The displayed scaling confers an optimal strategy to explore a larger\nnumber of foraging locations and at the same time transit between focal\nlocations. This supports a strategy of a highly directional pattern of movement\nto known areas where resources are plentiful, which then shifts to a searching\nmode once they have arrived.";"Mediterranean Institute for Advanced Studies, University of the Balearic Islands and the Spanish National Research Council, Esporles, Spain"
"Jessica R Hodgson";"The fruits of courtship: Male great bowerbirds provide directed dispersal of the Burdekin Plum, a good predictor of mating success.     (#16)";"Virtually all known cases of\nmutualism involve reciprocal food and energy flow, and almost nothing is known\nabout mutualisms where the fitness benefit to one partner is not food1. My study investigated a possible mutualism where the benefit\nto one partner is not food but an advantage in sexual display, and the benefit\nto the other partner is directed dispersal of seeds.Male great bowerbirds (Ptilonorhynchus nuchalis) build their\nbowers underneath dense shrubs in semi-arid savannah2.\nSuch plants are known as nurse shrubs and may facilitate the establishment of\nother plant species3,4,6. The male bowerbirds also collect fruit as ornaments to\ndisplay on bower courts and directly present to prospective females5. Neither the male or\nfemale bowerbird consumes the display fruit, instead the fruit is eventually tossed off\nthe bower and left to rot7. I used motion sensing cameras to record mating behaviour and conducted\nintense surveys of seedlings at active bowers (currently occupied), abandoned\nbowers (previously occupied) and random sites. Of eight species of fruit collected only one,\nthe Burdekin Plum (Pleiogynium timorense),\nwas significantly associated with mating success when directly presented to the\nfemale. Colour of the fruits was not associated at all. Conversely, bowerbirds chose sites with\ndenser canopies to build bowers and as such brought Burdekin Plum fruits to a non-random ideal\nmicrohabitat for their germination. Burdekin Plum seedlings occurred in\nsignificantly greater proportions under abandoned bowers and in greater density\nthan expected from seed arrival alone suggesting a differential survival of\nBurdekin plum seedlings at abandoned bowers. This is only the second\ninstance worldwide of mating success, rather than a food reward being\nquantified as the fitness benefit received by the seed disperser in a seed\ndispersal interaction. Furthermore, because the bowerbird-Burdekin Plum system\ninvolves sexual selection, and influences the reproductive success and\ndistributions of both species, the potential to favour coevolution, and even\nspeciation, may be much stronger than has been appreciated previously.";"Centre for Integrative Ecology, Deakin University, Waurn Ponds, Victoria, Australia"
"Shiyu Su";"Mate choice and its implications in a Papilio butterfly with female-limited mimetic polymorphism     (#17)";"Sexual selection via mate choice has been implicated in the evolution of sexual dimorphism and female polymorphism. Although mate choice based on wing colouration has been documented in butterflies, empirical evidence remains scant and is limited to a handful of species. Furthermore, male and female mate choice have rarely been studied in the same species, although both are known to occur in butterflies. In this study, behavioural experiments were conducted to investigate female and male mate choice in the Common Mormon Papilio polytes, a swallowtail butterfly which exhibits female-limited mimetic polymorphism. By artificially reducing male dorsal brightness, we found that mimetic and non-mimetic females did not prefer to mate with brighter males, whereas male size seemed to influence female mate choice. As there was a positive correlation between male size and brightness, female preference for larger males might lead to the evolution of sexual dimorphism in dorsal brightness. In the second part of this study, we offered male butterflies a choice of mimetic and non-mimetic females, and found that males mated preferentially with the mimetic female form. The hypothesis that male mate choice is involved in the persistence of the non-mimetic female form was therefore not supported. Future studies could investigate the role of female mate choice in the evolution of female-limited mimicry, as well as potential factors (e.g. female pheromones) that affect male mate choice.";"National University of Singapore, Singapore"
"Hannah E A MacGregor";"Sexual selection and asymmetric hybridization between lineages of the European Wall Lizard, Podarcis muralis     (#18)";"Hybridization\nhas long fascinated biologists as a mechanism for ecological and evolutionary\nchange. Typically, studies of hybrid zones find that gene flow is asymmetric\ni.e. one taxon acts as the main donor and the other the main recipient of\ngenetic material. However, the mechanisms that dictate the strength and\ndirection of gene flow are often unclear. To gain a clearer understanding of\nthe ecology of hybridization it is valuable to study cases of secondary contact\nbetween populations that are in the intermediate stages of divergence and where\npost-zygotic reproductive isolation is minimal. European wall lizards, Podarcis\nmuralis, from north-central Italy have highly exaggerated male sexual\ncharacters compared to other populations in southern Europe. The Italian and\nSouthern European lineages form natural contact zones within their native range\nand are known to hybridize. We designed an enclosure experiment to examine the\ndrivers of hybridization in this system. Our results show asymmetries in\nspatial habitat use, male-female interactions, and hybridization upon secondary\ncontact. Italian males monopolized high-quality habitat and defended\nwell-defined territories, while French males tended to adopt a ‘floater’\nstrategy. Hybridization between lineages was close to unidirectional and\nprimarily occurred between subdominant males of the Italian lineage and French\nfemales. Sexual selection was stronger in the dominant lineage and reproductive\nsuccess was predicted by several characters involved in pre- and\npost-copulatory male-male competition. These results suggest that the lineage\nwith exaggerated sexual characters should rapidly displace the other lineage\necologically and genetically.";"School of Biological Sciences, University of Tasmania, Hobart, TAS, Australia"
"Celine H Frere";"Polyandry in dragon lizards: inbred paternal genotypes sire fewer offspring     (#19)";"Multiple mating in female animals is something of a\nparadox because it can either be risky (e.g. higher probability of disease\ntransmission, social costs) or provide substantial fitness benefits (e.g.\ngenetic bet hedging whereby the likelihood of reproductive failure is lowered).\nThe genetic relatedness of parental units, particularly in lizards, has rarely\nbeen studied in the wild. Here, we examined levels of multiple paternity in\nAustralia’s largest agamid lizard, the eastern water dragon (Intellagama lesueurii), and determined whether male reproductive\nsuccess is best explained by its heterozygosity coefficient or the extent to which it is\nrelated to the mother. Female polyandry was the norm: 2/22 clutches (9.2%) were\nsired by three or more fathers, 17/22 (77.2%) by two fathers and only 3/22 (13.6%)\nclutches were sired by one father. Moreover, we reconstructed the paternal\ngenotypes for 18 known mother-offspring clutches and found no evidence that\nfemales were favouring less related males or that less related males had higher\nfitness. However, males with greater heterozygosity sired more offspring. While\nthe postcopulatory mechanisms underlying this pattern are not understood,\nfemale water dragons likely represent another example of reproduction through\ncryptic means (sperm selection/sperm competition) in a lizard, and through\nwhich they may ameliorate the effects of male-driven precopulatory sexual\nselection.";"The University of the Sunshine Coast, Sippy Downs, QLD, Australia"
"Robert J Dugand";"Indirect genetic benefits and the maintenance of genetic variation in male mating success.     (#20)";"The lek paradox – that persistent female choice for genetic benefits should preclude choice from resulting in genetic benefits – has long intrigued evolutionary biologists. The constant influx and transient persistence of new mutations into populations could help in resolving the lek paradox by explaining the maintenance of genetic variation in traits affecting male mating success, particularly if these traits are represented by many loci. This would be true if mating success was genetically correlated with condition, a trait which is expected to be affected by many genes and hence thousands of loci. Such condition-dependent mating success would lead to the expectation that variation in mating success was due to differences in the mutational load among males and, consequently, that mating success itself should be susceptible to inbreeding depression and display positive pleiotropy with other life-history traits which are also condition-dependent (i.e. ‘good genes’ benefits). Here, we test these predictions by applying divergent selection on male mating success for 14 generations in the fruit fly, Drosophila melanogaster and then quantify key components of fitness for both outbred and inbred individuals. Males from success-selected lines had 17.9% greater mating success than males from failure-selected lines. Overall, mating success was prone to inbreeding depression, with outbred individuals recording 9.7% more matings than inbred individuals, indicating that mutational load affects mating success and therefore mating success is genotypically condition-dependent. There was no significant interaction between cross type (inbred or outbred) and selection regime (i.e. no difference in mutational load between selection reigmes). Additionally, egg-to-adult viability was not prone to inbreeding depression and was not different across selection regimes. Our results indicate that, while females enjoy the indirect genetic benefit of improved male mating success of their sons (i.e ‘sexy sons’), overall we found no evidence for good genes benefits gained through precopulatory sexual selection.";"The University of Western Australia, Nedlands, WA, Australia"
"Brent Stoffer";"Experience matters: The effects of the social environment on mate choice plasticity in a wolf spider     (#21)";"Females often encounter potential mates\nprior to any mating decisions. Consequently, they may adjust their preferences based\non various conditions in an individual’s social environment, including the\navailability and quality of potential mates. However, the ability for females\nto adjust their mating preferences may depend on the signal modality in which\nfemales are able to assess males. In a series of experiments, I tested whether\nsimulated social conditions during the pre-adult stages of female wolf spiders,\nSchizocosa ocreata, resulted in variation in adult mating decisions\nthrough the use of video and/or vibratory playback. First, I manipulated the\navailability of males that females visually assessed in order to tease apart\nwhether the number of males simultaneously encountered or the encounter rate best\npredicted female mate preferences. Instead, the total number of males that\nfemales saw as juveniles best predicted female selectivity for tuft size.\nSecond, females were presented with males of varying visual quality (small\ntufts, average tufts, or large tufts). Females preferred males that were\nfamiliar to them, even demonstrating preferences towards low-quality males if\nthey had experience with only these males as juveniles. Third, I tested whether\nfemales would demonstrate stronger preferences towards unimodal signals\n(vibratory or visual) depending on different sensory experiences with courting\nmale signals (vibratory only, visual only, or both). Females were more\nreceptive towards the unimodal signal that they experienced as juveniles. However,\nall females preferred multimodal signals, regardless of previous sensory\nexperience. Finally, given the effects of sensory experience, I examined the\neffects of perceived availability and quality\non adult vibratory preferences when females were only able to experience\nvibratory playback of male courtship signals as juveniles. Taken together,\nthese experiments highlight that adult mating decisions are impacted social\nconditions. Further experiments should also examine whether plasticity in\nfemale preferences depends on the available signal modality in which females\nare able to experience. ";"University of Cincinnati, Cincinnati, OHIO, United States"
"Lisa Locatello";"Context-dependent female preference in a fish     (#22)";"Female choice is often assumed to be based on absolute\npreference, driven by a threshold value of male attractiveness. However,\nincreasing evidence suggests that females may instead perform a comparative\nevaluation of prospective mates, possibly incurring in violation of rational\ndecision rules. A prototypical case is the 'asymmetrically dominated decoy'\neffect where the preference for a target option over a competitor is altered by\nthe addition of an irrelevant alternative. We tested for this effect in the\npeacock blenny Salaria pavo. Females,\nfaced with two focal options, differing in body size and extension of a yellow\nspot, strongly preferred one of the options. The addition of a decoy,\nexhibiting a lower expression than both focal options on one trait, but lying\nbetween them on the other trait, shifted female preference according to the\ninitially preferred trait and to the decoy type. Indeed, females modified their\npreference in presence of the decoy with the intermediate expression of the\ntrait less preferred initially, whereas they did not when the decoy for the\npreferred trait was added. Thus, females’ evaluation resulted to be\ncontext-dependent, even if the violation of rational decision rules occurred\nonly with respect to the initially less preferred trait. This does not exclude\nthat females are in any case using comparative decision rules. When faced with\nthree alternatives they might not be able to discriminate among them, perceiving\nstimulus absolute magnitude.";"Department of Biology, University of Padova, Padova, Italy"
